product_name,price_type,yearID,monthID,AVG(price)
"Advanced Biofuel RIN",Average,2014,1,0.45535714285714285
"Advanced Biofuel RIN",Average,2014,2,0.5768421052631578
"Advanced Biofuel RIN",Average,2014,3,0.6198809523809524
"Advanced Biofuel RIN",Average,2014,4,0.5272619047619047
"Advanced Biofuel RIN",Average,2014,5,0.511847619047619
"Advanced Biofuel RIN",Average,2014,6,0.5407761904761904
"Advanced Biofuel RIN",Average,2014,7,0.5378409090909091
"Advanced Biofuel RIN",Average,2014,8,0.5364285714285714
"Advanced Biofuel RIN",Average,2014,9,0.49018095238095233
"Advanced Biofuel RIN",Average,2014,10,0.5132608695652173
"Advanced Biofuel RIN",Average,2014,11,0.5272222222222223
"Advanced Biofuel RIN",Average,2014,12,0.655681818181818
"Advanced Biofuel RIN",Average,2015,1,0.8583749999999999
"Advanced Biofuel RIN",Average,2015,2,0.820657894736842
"Advanced Biofuel RIN",Average,2015,3,0.7776136363636362
"Advanced Biofuel RIN",Average,2015,4,0.7871428571428571
"Advanced Biofuel RIN",Average,2015,5,0.8246249999999999
"Advanced Biofuel RIN",Average,2015,6,0.7945454545454546
"Advanced Biofuel RIN",Average,2015,7,0.7172727272727273
"Advanced Biofuel RIN",Average,2015,8,0.6064285714285713
"Advanced Biofuel RIN",Average,2015,9,0.4392857142857143
"Advanced Biofuel RIN",Average,2015,10,0.5014772727272727
"Advanced Biofuel RIN",Average,2015,11,0.6060526315789474
"Advanced Biofuel RIN",Average,2015,12,0.7503409090909091
"Advanced Biofuel RIN",Average,2016,1,0.7148736842105263
"Advanced Biofuel RIN",Average,2016,2,0.76594
"Advanced Biofuel RIN",Average,2016,3,0.7565954545454545
"Advanced Biofuel RIN",Average,2016,4,0.7877476190476193
"Advanced Biofuel RIN",Average,2016,5,0.780190476190476
"Advanced Biofuel RIN",Average,2016,6,0.8542863636363638
"Advanced Biofuel RIN",Average,2016,7,0.9783799999999999
"Advanced Biofuel RIN",Average,2016,8,0.9629999999999999
"Biodiesel RIN",Average,2014,1,0.4604761904761905
"Biodiesel RIN",Average,2014,2,0.5810526315789474
"Biodiesel RIN",Average,2014,3,0.653452380952381
"Biodiesel RIN",Average,2014,4,0.5865476190476192
"Biodiesel RIN",Average,2014,5,0.5599999999999999
"Biodiesel RIN",Average,2014,6,0.5590476190476191
"Biodiesel RIN",Average,2014,7,0.55125
"Biodiesel RIN",Average,2014,8,0.5458952380952381
"Biodiesel RIN",Average,2014,9,0.502747619047619
"Biodiesel RIN",Average,2014,10,0.5217521739130436
"Biodiesel RIN",Average,2014,11,0.5393111111111111
"Biodiesel RIN",Average,2014,12,0.6682954545454546
"Biodiesel RIN",Average,2015,1,0.9597499999999999
"Biodiesel RIN",Average,2015,2,0.8686894736842105
"Biodiesel RIN",Average,2015,3,0.8122727272727274
"Biodiesel RIN",Average,2015,4,0.8314904761904761
"Biodiesel RIN",Average,2015,5,0.8637549999999999
"Biodiesel RIN",Average,2015,6,0.8803409090909089
"Biodiesel RIN",Average,2015,7,0.7602272727272728
"Biodiesel RIN",Average,2015,8,0.6366666666666667
"Biodiesel RIN",Average,2015,9,0.4524428571428571
"Biodiesel RIN",Average,2015,10,0.5151181818181817
"Biodiesel RIN",Average,2015,11,0.6228947368421053
"Biodiesel RIN",Average,2015,12,0.7662499999999998
"Biodiesel RIN",Average,2016,1,0.7248736842105263
"Biodiesel RIN",Average,2016,2,0.7793150000000001
"Biodiesel RIN",Average,2016,3,0.7777409090909092
"Biodiesel RIN",Average,2016,4,0.813290476190476
"Biodiesel RIN",Average,2016,5,0.8087095238095239
"Biodiesel RIN",Average,2016,6,0.8849681818181817
"Biodiesel RIN",Average,2016,7,1.0128249999999999
"Biodiesel RIN",Average,2016,8,0.9935
"Cellulosic RIN",Average,2015,3,0.64
"Cellulosic RIN",Average,2015,4,0.6400000000000001
"Cellulosic RIN",Average,2015,5,0.6400000000000001
"Cellulosic RIN",Average,2015,6,0.6400000000000001
"Cellulosic RIN",Average,2015,7,0.6400000000000001
"Cellulosic RIN",Average,2015,8,0.6400000000000001
"Cellulosic RIN",Average,2015,9,0.6400000000000001
"Cellulosic RIN",Average,2015,10,0.6400000000000001
"Cellulosic RIN",Average,2015,11,0.6400000000000001
"Cellulosic RIN",Average,2015,12,0.6400000000000001
"Cellulosic RIN",Average,2016,1,1.3299999999999994
"Cellulosic RIN",Average,2016,2,1.3299999999999994
"Cellulosic RIN",Average,2016,3,1.8159090909090911
"Cellulosic RIN",Average,2016,4,1.7732142857142863
"Cellulosic RIN",Average,2016,5,1.7642857142857138
"Cellulosic RIN",Average,2016,6,1.7756818181818184
"Cellulosic RIN",Average,2016,7,1.8297500000000002
"Cellulosic RIN",Average,2016,8,1.8799999999999997
"Ethanol RIN",Average,2014,1,0.32798095238095243
"Ethanol RIN",Average,2014,2,0.5173684210526316
"Ethanol RIN",Average,2014,3,0.5016666666666667
"Ethanol RIN",Average,2014,4,0.43934761904761904
"Ethanol RIN",Average,2014,5,0.44732857142857146
"Ethanol RIN",Average,2014,6,0.4904714285714286
"Ethanol RIN",Average,2014,7,0.5114772727272728
"Ethanol RIN",Average,2014,8,0.5095333333333333
"Ethanol RIN",Average,2014,9,0.46937142857142855
"Ethanol RIN",Average,2014,10,0.46823043478260873
"Ethanol RIN",Average,2014,11,0.5023111111111112
"Ethanol RIN",Average,2014,12,0.6444954545454545
"Ethanol RIN",Average,2015,1,0.719375
"Ethanol RIN",Average,2015,2,0.7150052631578946
"Ethanol RIN",Average,2015,3,0.68495
"Ethanol RIN",Average,2015,4,0.7049
"Ethanol RIN",Average,2015,5,0.70464
"Ethanol RIN",Average,2015,6,0.4381954545454547
"Ethanol RIN",Average,2015,7,0.4348954545454546
"Ethanol RIN",Average,2015,8,0.38894761904761904
"Ethanol RIN",Average,2015,9,0.33454285714285714
"Ethanol RIN",Average,2015,10,0.37114545454545456
"Ethanol RIN",Average,2015,11,0.4249473684210525
"Ethanol RIN",Average,2015,12,0.7121045454545454
"Ethanol RIN",Average,2016,1,0.6694263157894739
"Ethanol RIN",Average,2016,2,0.721075
"Ethanol RIN",Average,2016,3,0.7230772727272726
"Ethanol RIN",Average,2016,4,0.7319809523809524
"Ethanol RIN",Average,2016,5,0.7614380952380952
"Ethanol RIN",Average,2016,6,0.843990909090909
"Ethanol RIN",Average,2016,7,0.9505250000000001
"Ethanol RIN",Average,2016,8,0.91328
