product_name,category ,vintage,avg_price $/gal,avg_price $/GJ,,,,,
Advanced Biofuel RIN,D5,2014,0.536312999,4.029398941,,,,,
Advanced Biofuel RIN,D5,2015,0.709166663,5.328074102,,,,,
Advanced Biofuel RIN,D5,2016,0.807388887,6.066032209,,,,,
Biodiesel RIN,D4,2014,0.555516998,4.173681427,,,,,
Biodiesel RIN,D4,2015,0.751098989,5.643117874,,,,,
Biodiesel RIN,D4,2016,0.830131746,6.236902675,,,,,
Cellulosic RIN,D3,2015,0.639999986,4.808414621,,,,,
Cellulosic RIN,D3,2016,1.676785719,12.59793929,,,,,
Ethanol RIN,D6,2014,0.480405999,3.609361375,,,,,
Ethanol RIN,D6,2015,0.556840401,4.18362435,,,GJ per gallon,0.1331,HHV
Ethanol RIN,D6,2016,0.771223807,5.79431861,,,,,